Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2015-12-09,131731.98606703948,110664.33052069688,118725.28175272867,111846.08033131406,79205.0141902557
2015-12-10,129823.203162592,112253.74507926404,117005.89170455906,110225.10029670059,78057.51629633688
2015-12-11,130452.90334633623,111729.40329202177,117573.11190898235,110759.85541382969,78436.07146516365
2015-12-14,128386.70665588017,113449.89392142877,115711.92695240423,109005.1961621097,77193.94154813851
2015-12-15,129931.43358541852,112163.62324858361,117103.38331111289,110317.01193009314,78122.58088904775
2015-12-16,129223.01900205169,112753.50932189294,116465.25889068714,109715.41082962697,77696.70519593424
2015-12-17,130807.11063801964,111434.4602553671,117892.17411919523,108260.46559723298,78649.00931172042
2015-12-18,129282.06606169611,112704.34173137191,116518.4471953863,106891.36540975032,79487.20684705689
2015-12-21,128239.11152662405,113572.79414578989,115578.97647605096,106029.00027861097,80114.19702475586
2015-12-22,129242.7013552665,112737.1201250526,116482.98832558685,106858.81677116551,79510.87162193385
2015-12-23,129803.53582261383,112270.12177481008,116988.17579325575,107322.54176848578,79776.23635931077
2015-12-24,131013.73781368358,111262.40494177924,118078.29937665127,108323.19516577107,78952.4478971712
2015-12-28,130807.11063801964,111434.4602553671,117892.17411919523,108152.34584737192,78749.16835719335
2015-12-29,130590.64979236662,111614.70391672799,117697.19090608755,108223.28973404125,78618.82860674664
2015-12-30,131594.23962100907,110779.0298959907,118601.20275562345,107392.49698678956,79223.13026426578
2015-12-31,131249.88101255137,111065.77208357805,118793.10454425187,107677.56427842139,79015.77814497071
2016-01-04,130167.57678428631,111966.9903903824,119769.073434915,108573.51845960188,78364.0793927372
2016-01-05,129006.57316963529,112933.74048195952,118582.19261539055,109534.62164643849,77664.99258586075
2016-01-06,128376.85797265448,113458.09477049607,118003.32018236832,108891.07550393214,77966.51690150717
2016-01-07,127048.59188876915,114564.12178198036,116782.2973717928,107764.37509036403,78766.3191446249
2016-01-08,123427.81207893073,117579.09018394699,113453.85678784599,110731.36667417517,80946.53578109376
2016-01-11,121951.95086578929,118808.01741979238,112097.15557537648,111984.70017521843,81835.21096682776
2016-01-12,123801.69421721064,120488.7929195147,113797.55194414417,113569.67147145659,80721.406361254
2016-01-13,125484.17509939769,118729.9962268994,115344.1904982947,115113.03671649781,79708.31719192152
2016-01-14,119492.18217722018,124564.6119030664,120742.79031734557,109616.49067990892,83316.33627638443
2016-01-15,117740.82807201793,126269.96740822929,118853.79139493228,108009.94698223799,84370.89677358307
2016-01-19,117357.1047571306,126643.61238702523,118466.33536297406,107657.9517624532,84601.95196027106
2016-01-20,117878.57451804835,126135.83881632614,117820.7191046433,108136.3038874974,84287.95411785075
2016-01-21,114631.67684648982,129297.45804709471,121102.35984467182,105157.87538138875,86243.04133447987
2016-01-22,118331.17105595085,125695.12954157866,117363.27960767763,108551.47755991186,84015.42760329662
2016-01-25,120830.29694433123,128221.87761429987,119720.96021082171,110843.96366180164,82510.60374638275
2016-01-26,119797.19109248489,129190.99719982767,118697.9040267949,109896.2799864212,83132.67818441085
2016-01-27,120279.30365359131,128678.86984892476,119175.32677699561,110338.52915482913,82842.37888934775
2016-01-28,119659.44464645449,129337.31930008566,118561.49752673756,109769.92308116179,82333.3853136421
2016-01-29,120358.01805321389,128595.25494193267,119253.27547234172,110410.7350681016,82813.82441731807
2016-02-01,123782.01937061413,124958.08622734022,122643.96938393066,113551.62343610589,85168.65800817602
2016-02-02,124519.94997718484,125577.6578160293,123374.72167720787,114228.53837968194,85676.16475802571
2016-02-03,123299.89930288939,126683.89171282052,124460.70659130253,113109.36738176308,84837.08321451707
2016-02-04,121843.72044296276,128154.23573675423,125904.1368036228,111773.59241589652,83835.60611921734
2016-02-05,119206.84810855199,125256.02186415663,128517.92367985295,109354.74940874733,82022.11512658269
2016-02-08,114602.16082328594,129972.80579080265,123431.05588755851,105130.79988539532,78855.27280101548
2016-02-09,110095.86278423897,134711.43242524797,118578.45673461592,100997.10431066643,75756.09700956976
2016-02-10,112073.51891170164,132631.81542740055,120708.09227265207,102811.23828751204,77116.21654470215
2016-02-11,112535.95662621155,132145.53607974955,121206.06751580624,103235.43942056931,77434.2549339614
2016-02-12,111493.00959775782,133242.2537234835,120082.97183438766,102278.72828454607,76716.97521692172
2016-02-16,114493.93040045942,130086.61618679046,123314.5081462463,105031.51847612935,78780.83806469412
2016-02-17,117553.88324956883,126868.9031226978,126609.61301391566,107838.45965969955,80885.29980041432
2016-02-18,119305.23735477109,125027.25546927012,128495.55561552939,109445.0033573705,82089.78166070419
2016-02-19,118085.19418709393,126310.199695203,127181.7542666786,108325.83924538651,81250.70527982118
2016-02-22,119777.5162458884,124530.62756917498,129004.1283124816,109878.23195107053,82414.58825216327
2016-02-23,120918.84501394293,123330.45597553009,130233.16619792553,110925.19014978202,83199.52934069883
2016-02-24,122571.8098729261,124890.86467494958,128321.28644787821,112441.47989882981,84336.34466686723
2016-02-25,123634.4317479763,123682.65945159469,129304.3633634536,113416.2390702037,85067.15562568093
2016-02-26,124864.31609226087,122428.84739633184,127887.6932194342,112173.36117433537,85913.0002087638
2016-02-29,124273.97310832795,123030.6756523257,127155.83535544273,111531.94201977251,85506.99584140915
2016-03-01,122168.41171144228,125177.20127872276,129185.35276642906,109643.49103929724,84058.91032818137
2016-03-02,123722.97981758803,126643.08909388632,130698.61718398384,111037.763212319,85128.0539576026
2016-03-03,123614.74939476151,126627.2666996692,130584.28037543365,110940.69273581506,85053.61922128126
2016-03-04,124805.28404585308,125407.77935764642,131841.98526948562,112008.46797735828,85872.40132081603
2016-03-07,123585.23337155761,126657.50052499381,130553.09905130969,112991.88605201404,85033.31977730738
2016-03-08,124185.41753209791,127145.27315809185,131187.1457423085,112453.00474833827,85446.09234686184
2016-03-09,125412.17470864345,125761.5238289991,132483.11684515717,113450.50897219076,86289.78624162613
2016-03-10,124729.54296380289,126460.75654039707,131761.97085790342,112832.95301625523,85820.31090738268
2016-03-11,124591.03906599416,126602.62872365834,131776.5842067558,112707.65279742048,85725.05579478465
2016-03-14,127133.593234946,123998.24201168724,129088.10523627851,115007.82339773684,87473.68011136923
2016-03-15,127509.52375997398,123613.16920735412,129340.57895513548,115347.91618788861,87732.22377011902
2016-03-16,128370.2405710216,122731.52056724405,130213.85486362057,116126.58022901145,88324.17589600488
2016-03-17,129102.32613267103,121981.63136839497,129340.05327939859,115347.35678561045,88827.66275601086
2016-03-18,129527.74066609322,121545.87115079424,128908.01750810214,114962.08350680105,89120.2387045804
2016-03-21,129992.72127212105,121069.58265065093,128435.7998498404,115259.3979972022,89440.0259501657
2016-03-22,129656.34172390605,121414.14263534977,128777.41487740507,114961.30289173151,89208.68320640305
2016-03-23,129240.83003047979,121839.75918513366,129199.3936789002,114593.08192605902,88922.91786860891
2016-03-24,128874.78724965507,122214.70378455821,129571.13362362882,114268.69965628147,88671.17443860591
2016-03-28,129112.22897266694,121971.48770057816,129329.9963095973,114479.11736996222,88834.47336678626
2016-03-29,129725.60122070677,121343.19881226496,129814.77325644626,113820.4558316019,89256.31595371639
2016-03-30,131100.75245459113,119934.60518456048,131191.26218608342,114912.06066884527,90202.06685095008
2016-03-31,132040.60141085004,118971.89997936532,130118.274819915,115735.79988050798,90848.44157086744
2016-04-01,132050.48915505325,118961.77177445675,130108.36783885534,115744.46608432813,90855.2417996142
2016-04-04,133455.33381313266,117522.76260621005,128700.79001996254,116975.75503075766,91821.41414714548
2016-04-05,133455.33381313266,117522.76260621005,128700.79001996254,116975.75503075766,91821.41414714548
2016-04-06,133188.21376171842,117796.37876782406,128968.42976019278,116741.6352191582,91637.70415069617
2016-04-07,134039.02773277013,116924.87379553082,129662.36511138568,117487.33890390293,92222.84566580664
2016-04-08,132485.7914326787,118515.88335194743,128160.5004398965,116125.99074594343,91154.61797693055
2016-04-11,132238.4619654636,118769.22764083606,127921.35113015737,115909.2165728298,90984.51882000342
2016-04-12,131634.977461627,119387.38832424066,127337.82623053328,116322.74308376088,90569.47646182007
2016-04-13,132990.35320710484,117999.05110635332,128648.37437353423,117402.48474633474,91501.6269015602
2016-04-14,132456.1131042763,118546.28342958141,128131.80369044904,117756.9364691019,91134.20690866157
2016-04-15,132980.45036710892,118009.19477417016,128638.79905937475,118105.01946240556,91494.81629078479
2016-04-18,133613.61319934792,117360.6340131316,129251.02070844629,118667.35182216643,91930.26971723708
2016-04-19,135384.50063825207,115546.68024546032,130963.33794022717,120240.13414874181,93148.18549477136
2016-04-20,134039.02773277013,116924.87379553082,129662.36511138568,119045.1762083673,92222.84566580664
2016-04-21,133791.69826555502,117178.21808441947,129423.21580164654,118825.51492085037,92052.74650887951
2016-04-22,133208.00434591755,117776.10689509867,128858.8269338259,118307.11750000504,91651.31499021835
2016-04-25,134256.67887158284,116701.92958427618,129872.81767167735,119238.47921394707,92372.53375446479
2016-04-26,134246.77603158692,116712.073252093,129863.24235751787,119229.68418192734,92365.72314368939
2016-04-27,133940.089907567,117026.2176962496,129566.6995488838,118957.3063305361,92154.80185022432
2016-04-28,134345.71385679,116610.72935137426,129958.9079200197,119317.5540597585,92433.76695927168
2016-04-29,131357.96966600948,119671.13269076326,132720.75331752194,121854.56581183596,94398.97956372554
2016-05-02,132505.58201687786,118495.61147922203,133745.9510816783,120834.21786563587,93608.6006294699
2016-05-03,134642.51223660668,116306.71311212625,135901.58983445924,118934.26239790031,92136.86269603798
2016-05-04,133148.6325933201,117836.92251327488,134394.6314783423,117497.46469116458,93165.72143869063
2016-05-05,133762.0199371526,117208.61816205343,135013.38894483482,118038.6537192347,92743.27178943632
2016-05-06,133277.24874692562,117705.17853492215,134524.37364885682,117610.94217299357,93077.14144184947
2016-05-09,134296.24494418845,116661.40130173363,135552.2910190529,116593.21582024207,92375.34250443497
2016-05-10,134830.48504701702,116114.16897850555,134876.64737560574,116939.8994748137,92007.40282272037
2016-05-11,136086.90787149908,117078.69050272067,133606.78033802123,115732.74277562875,91142.08437940002
2016-05-12,132911.20596610088,114347.83400041326,136816.46348948884,112920.33845744136,93329.24094459646
2016-05-13,132802.38039669453,114327.13823804978,136567.95439701836,112899.89993054229,93404.19085037438
2016-05-16,131753.7058710293,115229.93683261568,135489.69664057074,113791.47729963901,94126.4297260271
2016-05-17,133940.089907567,113347.68987509051,137737.7588259991,111932.62550203787,92620.63216000696
2016-05-18,130635.77184856328,116192.36057763746,141000.70470306708,114741.93871562663,94896.36872204453
2016-05-19,130408.23296554733,116388.24765105102,140614.7059125907,114427.70504323521,95053.07838077536
2016-05-20,130368.65179714901,116422.32287870909,140572.04449762442,114392.97526318143,95080.33856290183
2016-05-23,130487.38020655129,116320.1101916264,140700.0124719607,114497.15135781262,94998.56841323567
2016-05-24,130061.9656731291,116686.34741154725,140241.49174916715,114123.87907265035,95291.55818917236
2016-05-25,131981.2447540452,115034.04975920216,138030.72480960086,115807.91577594445,93969.72006729628
2016-05-26,131822.95027203733,115170.32467805136,138201.49191130002,115831.06968890436,94078.74000237563
2016-05-27,132663.87649888577,114446.37554306995,137294.3059331143,115092.3961647369,93499.58069439052
2016-05-31,132555.05092947942,114540.06292529237,137044.641943222,115187.98905303841,93574.53060016845
2016-06-01,131431.3255526401,115507.47241799935,135882.65743390276,116175.07467102079,94348.45819433403
2016-06-02,131142.94439991994,115755.7382936388,136045.1509760306,116428.39002209698,94547.0708948456
