date,open,high,low,close,volume,RSI,PPO,ADX,MOM,CCI,ROC,WILLR,SMA20,SMA50,SMA100,EMA20,EMA50,EMA100,PSAR,OBV,ADOSC,MFI,ATR,BBANDS_upper,BBANDS_middle,BBANDS_lower,STOCH_K,STOCK_D,MACD,MACD_S,MACD_H
2007-09-06,74.77999877929688,75.63999938964844,73.75,74.7699966430664,4852,56.993998768824525,-0.029717808009162794,26.33822531050189,6.069999694824219,145.5250984096667,8.835516687718759,-11.662236640120598,71.10799980163574,,,72.39405670180545,,,70.57357883853446,15196.0,4738.798039007244,75.03764888404507,1.5339248083969874,75.66093050188591,73.5239990234375,71.38706754498908,91.6975357639816,91.96087897036101,,,
2007-09-07,74.36000061035156,75.22000122070312,74.27999877929688,75.06999969482422,3685,58.16478749948675,0.7278286804326359,25.994643220966346,5.209999084472656,122.55244920111123,7.457771312559447,-7.6407475171226755,71.35099983215332,,,72.64890841542629,,,71.3842061267127,18881.0,5119.052782156014,75.32823534011145,1.4915017821833634,75.8195804831033,74.15799865722656,72.49641683134982,87.53063570668898,91.4261890418958,,,
2007-09-10,74.56999969482422,75.73999786376953,73.86000061035156,75.4800033569336,3082,59.776458968032905,1.5321635748112947,25.986933430970897,4.8600006103515625,108.57568994239276,6.88190374020734,-3.43908188886108,71.60550003051758,,,72.91853650509366,,,72.06513304878241,21963.0,5518.644958725674,82.1592483038546,1.519251458700121,75.80666110510792,74.71599884033203,73.62533657555615,84.95219978558067,88.06012375208375,,,
2007-09-11,75.48999786376953,76.4000015258789,74.98999786376953,76.37999725341797,3305,63.13382810509579,2.201586722142236,26.35332851580656,5.430000305175781,118.15819897318622,7.653277714919349,-0.24365742620813474,71.91299972534179,,,73.24819943350549,,,72.7266087154801,25268.0,6202.171736749167,92.05188880432286,1.5114480446579248,76.59706590413316,75.20799865722657,73.81893141031998,91.50810367639683,87.99697972288884,,,
2007-09-12,76.37999725341797,77.8499984741211,76.27999877929688,77.68000030517578,3294,67.37044708468403,2.6639059795807523,27.397475984678305,7.129997253417969,139.12631689629623,10.106303253009319,-1.9450596166621128,72.27149963378906,,,73.6702757069979,,,73.46128727755986,28562.0,6739.080741877511,100.0,1.5156303053840887,77.98087447620628,75.8759994506836,73.7711244251609,95.41848590136202,90.62626312111318,,,
2007-09-13,76.86000061035156,77.27999877929688,76.30000305175781,77.12000274658203,2470,63.960634030359806,3.0856197118290916,28.367041491487782,4.9900054931640625,112.20151045972192,6.918072484645221,-8.732005672764705,72.54549980163574,,,73.99882113933924,,,74.3390295168721,26092.0,6875.372589710165,94.61840479862191,1.5059422302436516,78.29698398116123,76.34600067138672,74.3950173616122,92.26772727245644,93.0647722834051,,,
2007-09-14,76.69000244140625,77.23999786376953,76.06999969482422,76.22000122070312,2912,58.80898117037289,3.452279889107678,29.009129299221097,4.319999694824219,88.0201207971975,6.008344371549601,-19.497573378160585,72.86800003051758,,,74.21036209946914,,,75.0412233083219,23180.0,5617.127565437131,88.3943995054158,1.4819462258651988,78.09418845148195,76.5760009765625,75.05781350164304,78.90199207585422,88.86273508322422,1.0721737105569957,0.22765963887244173,0.8445140716845541
2007-09-17,75.54000091552734,77.04000091552734,75.54000091552734,76.9800033569336,2573,61.62018875398113,3.63801627828437,29.018345803037814,4.290000915527344,79.66927321160273,5.901775720788316,-11.372482923623293,73.19500007629395,,,74.4741374573229,,,77.8499984741211,25753.0,5344.932941811028,88.31657269038064,1.4832357811605417,77.93169928663939,76.8760009765625,75.8203026664856,70.14429045804654,80.43800326878574,1.1668845452378633,0.4155046201455261,0.7513799250923372
2007-09-18,76.66999816894531,78.33000183105469,76.33000183105469,77.58999633789062,3427,63.75812963754237,3.894942494639133,29.713085397593424,3.6699981689453125,105.13984042835006,4.964824485733166,-9.78842573203284,73.58199996948242,,,74.77088592213887,,,75.54000091552734,29180.0,5031.177974912411,88.39470673505339,1.520147511077646,78.16263423274904,77.11800079345703,76.07336735416501,67.40167592121338,72.14931948503805,1.2764507698050522,0.5876938500774314,0.6887569197276209
2007-09-19,78.04000091552734,78.55999755859375,77.45999908447266,78.47000122070312,3109,66.64482533262876,4.103234982074955,30.46920117589504,4.1300048828125,118.20075023735895,5.555562397448566,-1.2534308365662628,74.07099990844726,,,75.12318261724023,,,75.54000091552734,32289.0,5272.803935494841,88.19068969894035,1.4901368655807494,78.75959531273386,77.2760009765625,75.79240664039114,80.0256988746468,72.5238884179689,1.4179466256326947,0.7537444051884841,0.6642022204442106
