Date,b&h,without_pca,with_pca,with_pca_and_dwt
2016-06-14,113000.44000000002,113763.65450000057,107532.16025000074,95987.18275000062
2016-06-15,114703.44000000002,111982.65450000057,105799.66025000074,94441.79275000062
2016-06-16,112738.44000000002,114037.65450000057,103879.02725000076,96114.29275000062
2016-06-17,111755.94000000002,115065.15450000057,102971.52725000076,95182.37575000062
2016-06-20,115030.94000000002,111640.15450000057,99843.61675000076,97969.87575000062
2016-06-21,110707.94000000002,116161.15450000057,95998.74750000077,94290.37575000062
2016-06-22,104157.94000000002,123011.15450000057,101602.70250000077,99796.01575000062
2016-06-23,103306.44000000002,121880.81700000059,100669.26250000078,98880.80700000063
2016-06-24,101799.94000000002,123541.4870000006,99197.26250000078,97437.55700000063
2016-06-27,101079.44000000002,124393.9870000006,98493.26250000078,98030.60725000063
2016-06-28,101275.94000000002,124161.4870000006,98202.83050000078,97842.35725000063
2016-06-29,101275.94000000002,124161.4870000006,98202.83050000078,97842.35725000063
2016-06-30,98000.94000000002,128036.4870000006,101402.83050000078,100979.85725000063
2016-07-01,94332.94000000002,132376.4870000006,104986.83050000078,97099.21475000064
2016-07-05,92826.44000000002,130128.46700000062,106458.83050000078,98554.85225000064
2016-07-06,90468.44000000002,133319.2100000006,103643.5775000008,95954.71825000065
2016-07-07,88306.94000000002,129993.33200000062,101160.3275000008,93661.21825000065
2016-07-08,88241.44000000002,129896.58200000062,101085.0775000008,93637.29400000063
2016-07-11,91974.94000000002,135411.33200000064,105374.3275000008,89661.54400000063
2016-07-12,90402.94000000002,133089.33200000064,107075.05275000079,91335.54400000063
2016-07-13,91974.94000000002,135411.33200000064,105269.05275000079,92834.45025000065
2016-07-14,96166.94000000002,141603.33200000064,109964.1277500008,97074.45025000065
2016-07-15,95249.94000000002,142816.28675000064,110904.40275000081,97905.02650000065
2016-07-18,92629.94000000002,146686.28675000064,113904.40275000081,95117.58125000066
2016-07-19,93874.44000000002,148515.75075000065,112479.40275000081,93739.97375000064
2016-07-20,89878.94000000002,142171.75075000065,107578.80475000083,97857.47375000064
2016-07-21,88765.44000000002,140403.75075000065,108809.90350000083,99004.97375000064
2016-07-22,87913.94000000002,139051.75075000065,109833.65350000083,97953.83625000065
2016-07-25,88110.44000000002,138600.70275000064,109970.01950000085,98173.58625000065
2016-07-26,88044.94000000002,138704.70275000064,109942.13950000086,98100.33625000065
2016-07-27,87455.44000000002,139640.70275000064,109094.34150000087,97441.08625000065
2016-07-28,88306.94000000002,138288.70275000064,107919.28150000087,98393.33625000065
2016-07-29,87127.94000000002,140160.70275000064,106367.00575000088,97074.83625000065
2016-08-01,87979.44000000002,141392.41525000066,105217.42450000088,98027.08625000065
2016-08-02,85686.94000000002,137699.91525000066,108026.17450000088,95463.33625000065
2016-08-03,85293.94000000002,137066.91525000066,108507.67450000088,95023.83625000065
2016-08-04,85490.44000000002,136612.50750000065,108649.8750000009,95243.58625000065
2016-08-05,84376.94000000002,134695.58250000066,109960.8250000009,93998.33625000065
2016-08-08,85293.94000000002,133090.86750000066,108791.8250000009,95023.83625000065
2016-08-09,85555.94000000002,133367.9250000007,109018.20125000092,95316.83625000065
2016-08-10,84769.94000000002,134464.5725000007,108013.20125000092,94437.83625000065
2016-08-11,84835.44000000002,134434.51650000073,108096.95125000092,94511.08625000065
2016-08-12,84442.44000000002,133810.51650000073,107594.45125000092,94071.58625000065
2016-08-15,84769.94000000002,133155.4095000007,108013.20125000092,94437.83625000065
2016-08-16,85883.44000000002,134773.64250000074,109436.95125000092,95683.08625000065
2016-08-17,86145.44000000002,135185.64250000074,109771.95125000092,95294.42175000065
2016-08-18,86865.94000000002,136318.64250000074,108740.98875000092,95996.94675000066
2016-08-19,87324.44000000002,137039.64250000074,108154.73875000092,96504.44675000066
2016-08-22,87913.94000000002,135973.27650000073,108778.08875000094,97156.94675000066
2016-08-23,87651.94000000002,136386.27650000073,108453.08875000094,96866.94675000066
2016-08-24,86407.44000000002,138348.02650000073,109888.53250000093,95489.44675000066
2016-08-25,86145.44000000002,138761.02650000073,109444.81350000095,95199.44675000066
2016-08-26,85097.44000000002,136930.49400000073,108108.81350000095,94039.44675000066
2016-08-29,83197.94000000002,133863.74400000073,110422.26450000094,96048.13175000066
2016-08-30,82018.94000000002,131960.24400000073,108746.20950000094,94588.80800000066
2016-08-31,79988.44000000002,128681.99400000073,106049.20950000094,92240.55800000066
2016-09-01,79333.44000000002,127624.49400000073,106815.61350000095,91483.05800000066
2016-09-02,81822.44000000002,131642.99400000073,110062.68400000095,94361.55800000066
2016-09-06,83263.44000000002,133969.49400000073,108005.59000000096,96028.05800000066
2016-09-07,83328.94000000002,134075.24400000073,107982.98000000097,96103.80800000066
2016-09-08,84442.44000000002,135872.99400000073,109427.98000000097,97391.55800000066
2016-09-09,86014.44000000002,138410.99400000073,107272.51900000096,99209.55800000066
2016-09-12,86800.44000000002,139679.99400000073,106249.51900000096,98201.47700000065
2016-09-13,86603.94000000002,139362.74400000073,106505.26900000096,98428.72700000065
2016-09-14,83983.94000000002,143453.47125000073,109915.26900000096,101458.72700000065
2016-09-15,84769.94000000002,144654.44725000075,108892.26900000096,100549.72700000065
2016-09-16,86800.44000000002,148126.44725000075,111395.42075000098,98201.47700000065
2016-09-19,88634.44000000002,151262.44725000075,108925.21075000099,96080.47700000065
2016-09-20,88699.94000000002,151374.44725000075,108897.19675000099,96004.72700000065
2016-09-21,89551.44000000002,149763.77200000075,107738.515000001,95019.97700000065
2016-09-22,89420.44000000002,149988.27200000075,107900.015000001,94786.31800000067
2016-09-23,88568.94000000002,151447.52200000075,106761.985000001,93882.81800000067
2016-09-26,88503.44000000002,151559.77200000075,106734.485250001,93813.31800000067
2016-09-27,86538.44000000002,154927.27200000075,104258.15125000101,91728.31800000067
2016-09-28,87258.94000000002,153692.52200000075,105127.15125000101,92492.81800000067
2016-09-29,86603.94000000002,154815.02200000075,104337.15125000101,93097.75975000067
2016-09-30,86603.94000000002,154660.60375000077,104232.77900000101,93004.91125000069
2016-10-03,88568.94000000002,150980.85625000077,101855.27900000101,90797.06275000068
2016-10-04,90992.44000000002,146633.35625000077,104547.08050000103,88188.56275000068
2016-10-05,91581.94000000002,147438.7482500008,105226.58050000103,88672.17875000069
2016-10-06,91450.94000000002,147502.93850000078,105272.40900000103,88545.17875000069
2016-10-07,89551.44000000002,150569.68850000078,107461.90900000103,86703.67875000069
2016-10-11,89354.94000000002,150886.93850000078,107118.40150000104,86807.69175000068
2016-10-12,90861.44000000002,153283.67925000077,108929.65150000104,85347.19175000068
2016-10-13,88634.44000000002,149518.17925000077,106252.15150000104,83171.1987500007
2016-10-14,91909.44000000002,155055.67925000077,110189.65150000104,80000.4597500007
2016-10-17,93153.94000000002,152791.5012500008,111685.90150000104,81003.77375000069
2016-10-18,93088.44000000002,152531.6737500008,111607.15150000104,80980.00475000069
2016-10-19,93022.94000000002,152424.1737500008,111574.39150000105,81037.00475000069
2016-10-20,94005.44000000002,150655.4575000008,110393.14150000105,81811.3497500007
2016-10-21,92302.44000000002,153456.9575000008,112440.64150000105,83217.9822500007
2016-10-24,92695.44000000002,152810.4575000008,112808.32150000107,82874.4822500007
2016-10-25,91581.94000000002,154642.2075000008,114055.52150000106,83847.7322500007
2016-10-26,91843.94000000002,154211.2075000008,113735.52150000106,83618.7322500007
2016-10-27,93088.44000000002,156151.93825000082,115165.76525000107,84670.5115000007
