date,open,high,low,close,volume,RSI,PPO,ADX,MOM,CCI,ROC,WILLR,SMA20,SMA50,SMA100,EMA20,EMA50,EMA100,PSAR,OBV,ADOSC,MFI,ATR,BBANDS_upper,BBANDS_middle,BBANDS_lower,STOCH_K,STOCK_D,MACD,MACD_S,MACD_H
2003-04-10,242.0,242.25,241.5,238.75,143,56.95015152127797,0.8046493881666801,18.87445977224431,10.0,65.9887723758081,4.371584699453557,-27.868852459016395,234.4375,,,236.90100187358655,,,232.8888709584,1361.0,3696.0565985091016,58.33308518577556,1.1920186867863396,244.95263066836523,241.15,237.3473693316348,63.333333333333286,91.15740740740732,,,
2003-04-11,238.5,238.75,238.25,239.25,212,57.81870709179191,1.2115017715998926,18.51501495844484,11.5,34.471047716081216,5.049396267837536,-24.59016393442623,234.9,,,237.12471598086404,,,233.89998386256,1573.0,3080.8214277078696,56.99091027695626,1.1425887805873154,244.89323706252577,241.2,237.5067629374742,38.68421052631575,68.26510721247554,1.4649655751151158,0.2624883083986383,1.2024772667164774
2003-04-14,239.25,240.5,239.25,239.25,112,57.81870709179191,1.5918445225829227,18.62288168179848,2.75,41.37753790799309,1.162790697674421,-24.59016393442623,235.375,,,237.3271239826865,,,234.809985476304,1573.0,2513.4232734975594,61.209094525615306,1.150261010545364,243.68024389336836,240.4,237.11975610663168,19.0350877192982,40.35087719298236,1.455509694507839,0.5010925856204784,0.9544171088873604
2003-04-15,239.25,240.0,239.25,241.75,278,62.2367936076079,2.012856131176125,18.72304363919829,2.25,47.78648926902718,0.9394572025052116,-8.19672131147541,235.975,,,237.7483502700497,,,235.6289869286736,1851.0,2554.05524615417,65.08803676227596,1.1216709383635524,242.9640549922196,240.2,237.4359450077804,41.48606811145506,33.06845545235629,1.6309444354051834,0.7270629555774194,0.903881479827764
2003-04-16,241.75,242.5,241.5,239.25,242,55.928235208506806,2.076866525077597,19.42307486611824,-1.0,61.14322414900475,-0.4162330905306932,-24.59016393442623,236.3625,,,237.89136453004497,,,236.36608823580625,1609.0,1914.990576226952,65.18891076978885,1.11298015705187,241.7854156503989,239.65,237.5145843496011,42.3116615067079,34.277605779153674,1.5503768456762828,0.8917257335971921,0.6586511120790907
2003-04-17,239.25,239.25,238.25,240.75,175,58.63734882372924,2.0669197588820314,18.884244309560252,2.0,-0.233918128654917,0.8376963350785305,-14.754098360655735,236.7125,,,238.16361552718357,,,237.0294794122256,1784.0,1702.1922497815467,62.986506784506815,1.1049101458338793,242.1091260281952,240.05,237.9908739718049,54.90196078431367,46.23323013415884,1.5892440976473663,1.031229406407227,0.5580146912401396
2003-04-21,240.5,240.5,239.5,238.75,160,53.88148154754131,1.9555845674730972,18.70433996501833,-0.25,-27.01754385964952,-0.1046025104602499,-62.96296296296296,237.075,,,238.21946166745175,,,237.62653147100303,1624.0,1333.1209117101023,57.24684195207138,1.115273706845745,242.19499443206615,239.95,237.7050055679338,31.372549019607792,42.86205710354307,1.4420404449449509,1.1133916141147715,0.3286488308301789
2003-04-22,238.75,239.25,238.5,238.75,159,53.88148154754131,1.8102066867649795,18.1880458041727,-4.5,-79.00843881856629,-1.8499486125385436,-85.0,237.5625,,,238.2699891276945,,,238.1638783239028,1624.0,1044.0807359799585,50.373498688879,1.0891827277853348,242.25000000000196,239.85,237.44999999999808,27.45098039215681,37.908496732026045,1.3102764384693444,1.1527685789856863,0.157507859483658
2003-04-23,238.75,239.0,238.75,238.75,281,53.88148154754131,1.652293005722349,17.708629797673183,-4.0,-73.96630934150222,-1.6477857878475777,-85.0,238.0875,,,238.31570444886643,,,238.5,1624.0,741.5115062739969,44.33144716204819,1.0292411043720966,240.79919333848107,239.25,237.70080666151893,11.764705882352892,23.52941176470578,1.1921106050372146,1.160636984195992,0.0314736208412225
2003-04-24,238.5,239.5,238.5,237.25,237,50.07688980460516,1.3171081857088696,17.41385651622676,-4.75,-92.71294928606744,-1.962809917355368,-115.0,238.55,,,238.2142087870696,,,243.0,1387.0,286.3912299148287,44.855918611058144,1.027152454059804,241.07710574513672,238.85,236.62289425486327,-6.971677559912902,10.74800290486555,0.9662871104104624,1.121767009438886,-0.1554798990284236
